# Master fingerprint index for seed 196
# digit_count,iteration,first_25_digits,contributor,source_file
70000000,169121766,1315049565144120454520311,p196.org,known/p196-org-verification.csv
71000000,171538507,1809597642702333754908891,p196.org,known/p196-org-verification.csv
72000000,173953453,1015802779684755714656655,p196.org,known/p196-org-verification.csv
72433237,175000000,1316559584457038932346512,p196.org,known/p196-org-verification.csv
73000000,176368856,1632106585426253096555012,p196.org,known/p196-org-verification.csv
74000000,178784747,1986111000106825979146786,p196.org,known/p196-org-verification.csv
75000000,181199797,1008705138345884691746272,p196.org,known/p196-org-verification.csv
76000000,183616094,1198699207272219566300138,p196.org,known/p196-org-verification.csv
77000000,186032643,1352672193204568014634580,p196.org,known/p196-org-verification.csv
78000000,188447228,1776756206228864215556798,p196.org,known/p196-org-verification.csv
79000000,190862368,1721124162365259992368277,p196.org,known/p196-org-verification.csv
80000000,193277613,1276307469099717799141965,p196.org,known/p196-org-verification.csv
81000000,195693825,1808312984821215632848674,p196.org,known/p196-org-verification.csv
82000000,198109015,1012480217638681141201751,p196.org,known/p196-org-verification.csv
83000000,200524477,1319596114795897939644010,p196.org,known/p196-org-verification.csv
84000000,202939323,1475989142103872062172123,p196.org,known/p196-org-verification.csv
85000000,205355672,1751939135396043222508585,p196.org,known/p196-org-verification.csv
86000000,207771197,1838830663332309393661252,p196.org,known/p196-org-verification.csv
87000000,210186316,1776793449035037308767206,p196.org,known/p196-org-verification.csv
88000000,212602940,1763659752403662711071184,p196.org,known/p196-org-verification.csv
89000000,215018872,1175499636497806735606789,p196.org,known/p196-org-verification.csv
90000000,217433686,1315668188291812932328716,p196.org,known/p196-org-verification.csv
91000000,219850418,1818340855113748165713548,p196.org,known/p196-org-verification.csv
92000000,222266315,1028371706886347137074883,p196.org,known/p196-org-verification.csv
93000000,224680750,1440330481696796849948050,p196.org,known/p196-org-verification.csv
94000000,227095084,1046866858222464987946767,p196.org,known/p196-org-verification.csv
95000000,229512704,1766913757711631595955714,p196.org,known/p196-org-verification.csv
96000000,231928518,1368479950294739386391187,p196.org,known/p196-org-verification.csv
97000000,234344371,1362828111646940179935559,p196.org,known/p196-org-verification.csv
98000000,236759404,1881507588454484016602013,p196.org,known/p196-org-verification.csv
99000000,239175318,1032406741781114441023479,p196.org,known/p196-org-verification.csv
100000000,241590277,1768299281546132721740051,p196.org,known/p196-org-verification.csv
101000000,244006839,1592228315604702996112807,p196.org,known/p196-org-verification.csv
102000000,246423282,1032307672289521340027980,p196.org,known/p196-org-verification.csv
